T0,distance_mm,cpu_time_s
100,3243.6556909578458,1.2905984999379143
500,3285.7101936305817,1.572266299976036
1000,3277.9337993736685,1.638350399909541
5000,3258.977019085913,1.997903799987398
10000,3246.7464265287676,2.295934700057842
50000,3219.5192929364866,2.8583241999149323
100000,3250.2232985259106,2.7046592999249697
