alpha,distance_mm,cpu_time_s,n_steps
0.9,3779.1323758060403,0.019429099978879094,110
0.95,3779.1323758060403,0.03972739994060248,225
0.98,3779.1323758060403,0.1047081999713555,570
0.99,3654.3355098228913,0.21181040001101792,1146
0.995,3472.999978725936,0.4221516000106931,2297
0.999,3238.1353097780066,2.0658410999458283,11508
0.9995,3226.743486995609,4.198193100048229,23021
