iters_per_T,distance_mm,cpu_time_s
10,3664.910130280803,0.2109177999664098
25,3396.4552781007824,0.5450926000485197
50,3322.8045558629015,1.1567498000804335
100,3246.7464265287676,2.4693927000043914
200,3223.7398524204227,4.901932600070722
500,3211.55625434437,11.917656200006604
1000,3193.8171371453373,23.483905300032347
